miner_id,hash_power,mined_blocks,canonical_blocks,orphan_blocks,orphan_ratio,mined_share,canonical_share,mined_vs_hp_ratio,canonical_vs_hp_ratio
M0,0.05946146050375697,7,7,0,0.0,0.058333333333333334,0.058823529411764705,0.9810275906298609,0.989271519962885
M1,0.07357733869220236,10,9,1,0.1,0.08333333333333333,0.07563025210084033,1.1325951008087345,1.0279014360280951
M2,0.1214796528992294,13,13,0,0.0,0.10833333333333334,0.1092436974789916,0.8917817160969229,0.8992756800977374
M3,0.06120575750382224,10,10,0,0.0,0.08333333333333333,0.08403361344537816,1.3615276851712723,1.372969094290359
M4,0.06675143375973663,9,9,0,0.0,0.075,0.07563025210084033,1.1235713718143199,1.1330131480480536
M5,0.0772067604076764,8,8,0,0.0,0.06666666666666667,0.06722689075630252,0.8634822431953539,0.8707383964995166
M6,0.024272038065262843,4,4,0,0.0,0.03333333333333333,0.03361344537815126,1.3733223903038718,1.3848629145921396
M7,0.06728605456580532,7,7,0,0.0,0.058333333333333334,0.058823529411764705,0.8669453679481789,0.8742306231410207
M8,0.08279274825659745,9,9,0,0.0,0.075,0.07563025210084033,0.9058764394141672,0.9134888464680677
M9,0.10423009311519313,20,20,0,0.0,0.16666666666666666,0.16806722689075632,1.5990263625925174,1.6124635589168246
M10,0.01237173106438662,0,0,0,0.0,0.0,0.0,0.0,0.0
M11,0.039879526062502856,5,5,0,0.0,0.041666666666666664,0.04201680672268908,1.0448134865334868,1.0535934317984743
M12,0.011917874143726982,1,1,0,0.0,0.008333333333333333,0.008403361344537815,0.6992298486152092,0.7051057296960093
M13,0.10642091608437763,7,7,0,0.0,0.058333333333333334,0.058823529411764705,0.5481378612366272,0.5527440617512207
M14,0.0911466148757232,10,10,0,0.0,0.08333333333333333,0.08403361344537816,0.9142778746852733,0.9219608820355699
