miner_id,hash_power,mined_blocks,canonical_blocks,mined_share,canonical_share,mined_vs_hp_ratio,canonical_vs_hp_ratio
M0,0.05913593,1,0,0.018867924528301886,0.0,0.31906024862214705,0.0
M1,0.07317453,2,1,0.03773584905660377,0.04,0.5156965006349036,0.5466382906729979
M10,0.012304,1,0,0.018867924528301886,0.0,1.5334789115980076,0.0
M11,0.0396612,2,1,0.03773584905660377,0.04,0.9514550506944766,1.008542353736145
M12,0.01185263,1,0,0.018867924528301886,0.0,1.59187661542644,0.0
M13,0.1058383,4,4,0.07547169811320754,0.16,0.713084942910152,1.5117400789695226
M14,0.09064762,7,6,0.1320754716981132,0.24,1.4570208428871405,2.647615017360632
M15,0.00547468,0,0,0.0,0.0,0.0,0.0
M2,0.12081459,7,3,0.1320754716981132,0.12,1.0932079618704431,0.9932575196422883
M3,0.06087068,4,2,0.07547169811320754,0.08,1.2398694759645783,1.314261644522453
M4,0.06638599,5,2,0.09433962264150944,0.08,1.4210772881674196,1.2050735403659718
M5,0.07678408,2,1,0.03773584905660377,0.04,0.4914540755922812,0.5209413201278181
M6,0.02413916,1,0,0.018867924528301886,0.0,0.7816313628271193,0.0
M7,0.06691769,6,2,0.11320754716981132,0.08,1.691743202280463,1.1954985296115272
M8,0.08233948,7,3,0.1320754716981132,0.12,1.6040357760106476,1.457381076489674
M9,0.10365947,3,0,0.05660377358490566,0.0,0.5460550163425074,0.0
